date,merchant,description,amount,category,is_anomaly
2025-01-23,TST* ICLOUDSTOR,TST* ICLOUDSTOR PURCHASE,249.79,Subscriptions,0
2025-01-23,BARBEQ SC,BARBEQ SC PURCHASE,163.48,Dining,0
2025-01-24,SWI316,SWI316 PURCHASE,603.28,Dining,0
2025-01-25,UBE261,UBE261 PURCHASE,288.84,Transport,0
2025-01-25,FLIPKA SC,FLIPKA SC PURCHASE,319.81,Shopping,0
2025-01-27,AIRTEL SC,AIRTEL SC PURCHASE,1828.19,Utilities,0
2025-01-28,CAFECOFF 029384,CAFECOFF 029384 PURCHASE,1.0,Dining,0
2025-01-28,BSESELEC PUNE MH,BSESELEC PUNE MH PURCHASE,1733.57,Utilities,0
2025-02-01,POS DEBIT CAFECOFFEE,POS DEBIT CAFECOFFEE PURCHASE,531.95,Dining,0
2025-02-01,CAFE C SC,CAFE C SC PURCHASE,375.22,Dining,0
2025-02-01,SHANTI PROPERTIES #3730,SHANTI PROPERTIES #3730 PURCHASE,19194.52,Rent,0
2025-02-01,OLA #9405,OLA #9405 PURCHASE,349.29,Transport,0
2025-02-01,EMPPAY568,EMPPAY568 PURCHASE,37296.13,Income,0
2025-02-02,DMART BANGLR,DMART BANGLR PURCHASE,937.98,Groceries,0
2025-02-03,AIRTEL BROADBAND #2811,AIRTEL BROADBAND #2811 PURCHASE,1166.58,Utilities,0
2025-02-04,MORESUPERMARKET,MORESUPERMARKET PURCHASE,842.78,Groceries,0
2025-02-04,SWIGGY,SWIGGY PURCHASE,479.43,Dining,0
2025-02-04,UBER,UBER PURCHASE,462.56,Transport,0
2025-02-09,CAFCOFDA581,CAFCOFDA581 PURCHASE,89.96,Dining,0
2025-02-09,IRCTC #3958,IRCTC #3958 PURCHASE,115.06,Transport,0
2025-02-09,CAFE C SC,CAFE C SC PURCHASE,362.18,Dining,0
2025-02-09,UBER,UBER PURCHASE,547.57,Transport,0
2025-02-09,BARBEQUE 0210,BARBEQUE 0210 PURCHASE,431.0,Dining,0
2025-02-10,ICLOUD SC,ICLOUD SC PURCHASE,194.64,Subscriptions,0
2025-02-10,DOMINO'S #9112,DOMINO'S #9112 PURCHASE,819.6,Dining,0
2025-02-10,BSES ELECTRICITY #4589,BSES ELECTRICITY #4589 PURCHASE,1351.87,Utilities,0
2025-02-10,SPOTIFY #1780,SPOTIFY #1780 PURCHASE,307.58,Entertainment,0
2025-02-10,NET536,NET536 PURCHASE,392.63,Entertainment,0
2025-02-10,INDIANOIL,INDIANOIL PURCHASE,64.64,Transport,0
2025-02-12,RELFRE373,RELFRE373 PURCHASE,619.6,Groceries,0
2025-02-12,CAFECOFFEEDAY,CAFECOFFEEDAY PURCHASE,309.51,Dining,0
2025-02-12,RELFRE926,RELFRE926 PURCHASE,579.68,Groceries,0
2025-02-13,MAX HEALTHCARE #2129,MAX HEALTHCARE #2129 PURCHASE,1003.93,Healthcare,0
2025-02-14,CKCD PVRCINEMAS,CKCD PVRCINEMAS PURCHASE,281.65,Entertainment,0
2025-02-14,EMPLOYER 029384,EMPLOYER 029384 PURCHASE,36828.14,Income,0
2025-02-15,IRCTC,IRCTC PURCHASE,411.73,Transport,0
2025-02-15,BSEELE805,BSEELE805 PURCHASE,1702.91,Utilities,0
2025-02-15,BARBEQUE 029384,BARBEQUE 029384 PURCHASE,324.32,Dining,0
2025-02-15,NATURE'S BASKET #2145,NATURE'S BASKET #2145 PURCHASE,1009.2,Groceries,0
2025-02-16,SWIGGY #7800,SWIGGY #7800 PURCHASE,256.87,Dining,0
2025-02-16,TST* MAXHEALTHC,TST* MAXHEALTHC PURCHASE,623.66,Healthcare,0
2025-02-21,BIGBASKET,BIGBASKET PURCHASE,589.91,Groceries,0
2025-02-22,UBER SC,UBER SC PURCHASE,454.22,Transport,0
2025-02-22,ADOBE,ADOBE PURCHASE,306.9,Subscriptions,0
2025-02-22,SWIGGY SC,SWIGGY SC PURCHASE,361.7,Dining,0
2025-02-23,MYNTRA,MYNTRA PURCHASE,1426.42,Shopping,0
2025-02-24,MUNWATBO771,MUNWATBO771 PURCHASE,1224.18,Utilities,0
2025-02-26,ICLOUDSTORAGE,ICLOUDSTORAGE PURCHASE,412.84,Subscriptions,0
2025-02-26,INDOIL848,INDOIL848 PURCHASE,845.54,Transport,0
2025-02-27,IRCTC,IRCTC PURCHASE,1060.89,Transport,0
2025-02-27,IRC188,IRC188 PURCHASE,510.53,Transport,0
2025-02-27,NATURE'S BASKET,NATURE'S BASKET PURCHASE,1695.82,Groceries,0
2025-02-28,INDIAN OIL,INDIAN OIL PURCHASE,445.13,Transport,0
2025-03-01,POS DEBIT EMPLOYERPA,POS DEBIT EMPLOYERPA PURCHASE,34679.84,Income,0
2025-03-01,SQ *IRCTC,SQ *IRCTC PURCHASE,335.1,Transport,0
2025-03-01,SHANTI SC,SHANTI SC PURCHASE,18921.71,Rent,0
2025-03-02,INDOIL263,INDOIL263 PURCHASE,871.71,Transport,0
2025-03-03,CKCD INDIANOIL,CKCD INDIANOIL PURCHASE,418.33,Transport,0
2025-03-04,UBER SC,UBER SC PURCHASE,76.23,Transport,0
2025-03-04,ZOM398,ZOM398 PURCHASE,226.97,Dining,0
2025-03-04,DOM567,DOM567 PURCHASE,225.55,Dining,0
2025-03-04,POS DEBIT BSESELECTR,POS DEBIT BSESELECTR PURCHASE,1697.98,Utilities,0
2025-03-05,DOMINOS,DOMINOS PURCHASE,487.37,Dining,0
2025-03-07,CULT.FIT MEMBERSHIP,CULT.FIT MEMBERSHIP PURCHASE,191.83,Subscriptions,0
2025-03-07,ZOMATO,ZOMATO PURCHASE,391.52,Dining,0
2025-03-08,MUNICIPAL WATER BOARD #7391,MUNICIPAL WATER BOARD #7391 PURCHASE,1827.1,Utilities,0
2025-03-08,UBE256,UBE256 PURCHASE,293.28,Transport,0
2025-03-09,POS DEBIT DOMINOS,POS DEBIT DOMINOS PURCHASE,772.26,Dining,0
2025-03-09,DMART #4140,DMART #4140 PURCHASE,1182.2,Groceries,0
2025-03-11,DOMINOS,DOMINOS PURCHASE,527.0,Dining,0
2025-03-11,MORSUP316,MORSUP316 PURCHASE,936.27,Groceries,0
2025-03-11,CAFECOFF DELHI NCR,CAFECOFF DELHI NCR PURCHASE,252.71,Dining,0
2025-03-11,DMART,DMART PURCHASE,357.21,Groceries,0
2025-03-12,BOO969,BOO969 PURCHASE,188.33,Entertainment,0
2025-03-13,MYNTRA,MYNTRA PURCHASE,1978.61,Shopping,0
2025-03-14,EMPLOYER PAYROLL,EMPLOYER PAYROLL PURCHASE,37236.09,Income,0
2025-03-14,FLIPKART DELHI NCR,FLIPKART DELHI NCR PURCHASE,731.34,Shopping,0
2025-03-14,SPOTIF SC,SPOTIF SC PURCHASE,453.24,Entertainment,0
2025-03-15,MORESUPERMARKET,MORESUPERMARKET PURCHASE,1131.6,Groceries,0
2025-03-15,SQ *SPOTIFY,SQ *SPOTIFY PURCHASE,516.83,Entertainment,0
2025-03-16,SWIGGY DELHI NCR,SWIGGY DELHI NCR PURCHASE,257.09,Dining,0
2025-03-17,OLA,OLA PURCHASE,360.5,Transport,0
2025-03-17,FLIPKART,FLIPKART PURCHASE,299.03,Shopping,0
2025-03-18,MED957,MED957 PURCHASE,1050.45,Healthcare,0
2025-03-18,UBER 0210,UBER 0210 PURCHASE,1.0,Transport,0
2025-03-18,UBER SC,UBER SC PURCHASE,77.51,Transport,0
2025-03-19,INDOIL788,INDOIL788 PURCHASE,817.26,Transport,0
2025-03-20,OLA PUNE MH,OLA PUNE MH PURCHASE,146.97,Transport,0
2025-03-22,RELIANCE MUMBAI,RELIANCE MUMBAI PURCHASE,719.69,Groceries,0
2025-03-22,DOMINO'S #2534,DOMINO'S #2534 PURCHASE,328.3,Dining,0
2025-03-26,INDIAN SC,INDIAN SC PURCHASE,316.05,Transport,0
2025-03-26,INDIAN OIL #8709,INDIAN OIL #8709 PURCHASE,605.79,Transport,0
2025-03-27,SWIGGY,SWIGGY PURCHASE,437.87,Dining,0
2025-03-27,BSES ELECTRICITY,BSES ELECTRICITY PURCHASE,904.24,Utilities,0
2025-03-28,SWIGGY #4626,SWIGGY #4626 PURCHASE,364.19,Dining,0
2025-04-01,EMPPAY620,EMPPAY620 PURCHASE,35223.0,Income,0
2025-04-01,SHANTI PROPERTIES #5864,SHANTI PROPERTIES #5864 PURCHASE,18681.72,Rent,0
2025-04-01,RELIANCE MUMBAI,RELIANCE MUMBAI PURCHASE,920.27,Groceries,0
2025-04-02,BARBEQ SC,BARBEQ SC PURCHASE,207.97,Dining,0
2025-04-02,INDIANOIL,INDIANOIL PURCHASE,145.7,Transport,0
2025-04-03,PAYPAL *INDIANOIL,PAYPAL *INDIANOIL PURCHASE,24.21,Transport,0
2025-04-04,DMART,DMART PURCHASE,282.52,Groceries,0
2025-04-05,NATURESB MUMBAI,NATURESB MUMBAI PURCHASE,694.61,Groceries,0
2025-04-05,ZOMATO 029384,ZOMATO 029384 PURCHASE,1.0,Dining,0
2025-04-05,UBE405,UBE405 PURCHASE,400.17,Transport,0
2025-04-05,PAYPAL *NETFLIX,PAYPAL *NETFLIX PURCHASE,187.23,Entertainment,0
2025-04-05,DOMINO'S #2629,DOMINO'S #2629 PURCHASE,278.9,Dining,0
2025-04-06,SQ *ZOMATO,SQ *ZOMATO PURCHASE,105.89,Dining,0
2025-04-07,FLIPKART,FLIPKART PURCHASE,1284.51,Shopping,0
2025-04-08,SWI878,SWI878 PURCHASE,525.35,Dining,0
2025-04-08,AIRTEL BROADBAND,AIRTEL BROADBAND PURCHASE,1606.63,Utilities,0
2025-04-11,AIRBRO491,AIRBRO491 PURCHASE,1339.45,Utilities,0
2025-04-12,CULT.FIT MEMBERSHIP #712,CULT.FIT MEMBERSHIP #712 PURCHASE,148.52,Subscriptions,0
2025-04-13,POS DEBIT MORESUPERM,POS DEBIT MORESUPERM PURCHASE,548.05,Groceries,0
2025-04-13,IRCTC,IRCTC PURCHASE,200.22,Transport,0
2025-04-14,SQ *EMPLOYERPA,SQ *EMPLOYERPA PURCHASE,34494.37,Income,0
2025-04-15,LIFESTYLE #5245,LIFESTYLE #5245 PURCHASE,1739.61,Shopping,0
2025-04-15,OLA 029384,OLA 029384 PURCHASE,230.61,Transport,0
2025-04-15,BARBEQUE NATION #9055,BARBEQUE NATION #9055 PURCHASE,660.57,Dining,0
2025-04-16,BIGBASKET,BIGBASKET PURCHASE,665.22,Groceries,0
2025-04-18,SWIGGY #1221,SWIGGY #1221 PURCHASE,224.06,Dining,0
2025-04-18,DOMINOS PUNE MH,DOMINOS PUNE MH PURCHASE,466.26,Dining,0
2025-04-20,DOMINOS 029384,DOMINOS 029384 PURCHASE,422.4,Dining,0
2025-04-21,TST* OLA,TST* OLA PURCHASE,358.87,Transport,0
2025-04-21,RELIAN SC,RELIAN SC PURCHASE,1169.99,Groceries,0
2025-04-21,BARBEQUE MUMBAI,BARBEQUE MUMBAI PURCHASE,582.39,Dining,0
2025-04-21,BSEELE839,BSEELE839 PURCHASE,1519.18,Utilities,0
2025-04-21,POS DEBIT SPOTIFY,POS DEBIT SPOTIFY PURCHASE,244.07,Entertainment,0
2025-04-21,RELIANCE FRESH #8417,RELIANCE FRESH #8417 PURCHASE,182.94,Groceries,0
2025-04-22,CKCD BSESELECTR,CKCD BSESELECTR PURCHASE,1715.21,Utilities,0
2025-04-22,ZOMATO SC,ZOMATO SC PURCHASE,216.16,Dining,0
2025-04-24,IRCTC,IRCTC PURCHASE,439.56,Transport,0
2025-04-24,NATURESBASKET,NATURESBASKET PURCHASE,759.52,Groceries,0
2025-04-24,BSESELEC PUNE MH,BSESELEC PUNE MH PURCHASE,1983.59,Utilities,0
2025-04-25,UBER PUNE MH,UBER PUNE MH PURCHASE,529.17,Transport,0
2025-04-25,FLIPKART DELHI NCR,FLIPKART DELHI NCR PURCHASE,1454.78,Shopping,0
2025-04-25,DMART #8937,DMART #8937 PURCHASE,913.43,Groceries,0
2025-04-25,CULT.FIT MEMBERSHIP,CULT.FIT MEMBERSHIP PURCHASE,174.1,Subscriptions,0
2025-04-26,NETFLIX BANGLR,NETFLIX BANGLR PURCHASE,727.35,Entertainment,0
2025-04-27,MAX HEALTHCARE,MAX HEALTHCARE PURCHASE,1178.15,Healthcare,0
2025-04-28,BIGBASKE DELHI NCR,BIGBASKE DELHI NCR PURCHASE,638.78,Groceries,0
2025-04-28,SWIGGY,SWIGGY PURCHASE,460.35,Dining,0
2025-05-01,EMPPAY528,EMPPAY528 PURCHASE,34079.9,Income,0
2025-05-01,SHANTI PROPERTIES #3877,SHANTI PROPERTIES #3877 PURCHASE,18414.38,Rent,0
2025-05-02,DMART SC,DMART SC PURCHASE,1003.74,Groceries,0
2025-05-03,BARBEQUENATION,BARBEQUENATION PURCHASE,227.38,Dining,0
2025-05-04,AMA411,AMA411 PURCHASE,1987.19,Shopping,0
2025-05-04,DOMINOS BANGLR,DOMINOS BANGLR PURCHASE,1.0,Dining,0
2025-05-04,INDIANOIL,INDIANOIL PURCHASE,437.32,Transport,0
2025-05-04,POS DEBIT PVRCINEMAS,POS DEBIT PVRCINEMAS PURCHASE,403.78,Entertainment,0
2025-05-05,SPOTIFY,SPOTIFY PURCHASE,1.0,Entertainment,0
2025-05-05,CAFECOFF DELHI NCR,CAFECOFF DELHI NCR PURCHASE,732.46,Dining,0
2025-05-06,MAXHEA762,MAXHEA762 PURCHASE,1.0,Healthcare,0
2025-05-06,BARBEQUE DELHI NCR,BARBEQUE DELHI NCR PURCHASE,563.05,Dining,0
2025-05-07,CULT.FIT MEMBERSHIP,CULT.FIT MEMBERSHIP PURCHASE,126.65,Subscriptions,0
2025-05-07,CKCD INDIANOIL,CKCD INDIANOIL PURCHASE,1042.48,Transport,0
2025-05-07,TST* BSESELECTR,TST* BSESELECTR PURCHASE,923.4,Utilities,0
2025-05-07,NATBAS419,NATBAS419 PURCHASE,1064.25,Groceries,0
2025-05-07,MEDPLUS,MEDPLUS PURCHASE,903.57,Healthcare,0
2025-05-08,UBER,UBER PURCHASE,747.15,Transport,0
2025-05-09,MAX HEALTHCARE #5104,MAX HEALTHCARE #5104 PURCHASE,641.68,Healthcare,0
2025-05-09,TST* MUNICIPALW,TST* MUNICIPALW PURCHASE,1089.39,Utilities,0
2025-05-10,MAX HEALTHCARE,MAX HEALTHCARE PURCHASE,298.41,Healthcare,0
2025-05-10,ZOMATO SC,ZOMATO SC PURCHASE,352.43,Dining,0
2025-05-13,ADOBE,ADOBE PURCHASE,132.74,Subscriptions,0
2025-05-14,MEDPLU SC,MEDPLU SC PURCHASE,574.96,Healthcare,0
2025-05-14,ADOBE #8481,ADOBE #8481 PURCHASE,444.65,Subscriptions,0
2025-05-14,EMPLOY SC,EMPLOY SC PURCHASE,34546.3,Income,0
2025-05-16,APOLLOPHARMACY,APOLLOPHARMACY PURCHASE,712.48,Healthcare,0
2025-05-18,DMART SC,DMART SC PURCHASE,1113.02,Groceries,0
2025-05-19,BARBEQUE PUNE MH,BARBEQUE PUNE MH PURCHASE,262.1,Dining,0
2025-05-19,BARBEQUE NATION,BARBEQUE NATION PURCHASE,536.19,Dining,0
2025-05-20,AMA251,AMA251 PURCHASE,1114.76,Shopping,0
2025-05-21,ADOBE SC,ADOBE SC PURCHASE,253.35,Subscriptions,0
2025-05-22,INDIAN SC,INDIAN SC PURCHASE,123.22,Transport,0
2025-05-22,ZOMATO #1691,ZOMATO #1691 PURCHASE,520.79,Dining,0
2025-05-22,CULT.FITMEMBERSHIP,CULT.FITMEMBERSHIP PURCHASE,319.5,Subscriptions,0
2025-05-22,DOMINO'S,DOMINO'S PURCHASE,260.65,Dining,0
2025-05-24,MUNICIPAL WATER BOARD #4768,MUNICIPAL WATER BOARD #4768 PURCHASE,1553.19,Utilities,0
2025-05-24,AIRTELBROADBAND,AIRTELBROADBAND PURCHASE,1929.45,Utilities,0
2025-05-24,PAYPAL *SWIGGY,PAYPAL *SWIGGY PURCHASE,539.83,Dining,0
2025-05-26,DOMINOS,DOMINOS PURCHASE,295.79,Dining,0
2025-05-26,BARBEQUE NATION #3688,BARBEQUE NATION #3688 PURCHASE,302.16,Dining,0
2025-05-27,BIGBAS SC,BIGBAS SC PURCHASE,1110.71,Groceries,0
2025-05-27,DOMINOS 029384,DOMINOS 029384 PURCHASE,245.36,Dining,0
2025-05-27,OLA 029384,OLA 029384 PURCHASE,1.0,Transport,0
2025-06-01,CKCD MAXHEALTHC,CKCD MAXHEALTHC PURCHASE,487.73,Healthcare,0
2025-06-01,LAKEVIEWRESIDENCY,LAKEVIEWRESIDENCY PURCHASE,18007.57,Rent,0
2025-06-01,EMPPAY716,EMPPAY716 PURCHASE,34417.73,Income,0
2025-06-01,AMAZON #3741,AMAZON #3741 PURCHASE,2209.5,Shopping,0
2025-06-02,LIFESTYL PUNE MH,LIFESTYL PUNE MH PURCHASE,281.05,Shopping,0
2025-06-03,FLIPKART,FLIPKART PURCHASE,1022.73,Shopping,0
2025-06-04,SPOTIFY,SPOTIFY PURCHASE,356.03,Entertainment,0
2025-06-04,ZOMATO #7824,ZOMATO #7824 PURCHASE,210.17,Dining,0
2025-06-04,ADOBE BANGLR,ADOBE BANGLR PURCHASE,305.83,Subscriptions,0
2025-06-05,DOMINO'S #1722,DOMINO'S #1722 PURCHASE,510.76,Dining,0
2025-06-05,OLA SC,OLA SC PURCHASE,580.42,Transport,0
2025-06-06,IRC148,IRC148 PURCHASE,633.92,Transport,0
2025-06-06,NET965,NET965 PURCHASE,336.62,Entertainment,0
2025-06-07,MUNICIPAL WATER BOARD #8448,MUNICIPAL WATER BOARD #8448 PURCHASE,1219.95,Utilities,0
2025-06-08,BIGBASKET,BIGBASKET PURCHASE,381.33,Groceries,0
2025-06-08,UBER,UBER PURCHASE,117.74,Transport,0
2025-06-08,BIGBASKET,BIGBASKET PURCHASE,1274.68,Groceries,0
2025-06-08,MYNTRA #6592,MYNTRA #6592 PURCHASE,781.23,Shopping,0
2025-06-08,OLA SC,OLA SC PURCHASE,522.34,Transport,0
2025-06-09,CKCD MORESUPERM,CKCD MORESUPERM PURCHASE,774.8,Groceries,0
2025-06-09,CAFCOFDA477,CAFCOFDA477 PURCHASE,504.14,Dining,0
2025-06-09,POS DEBIT FLIPKART,POS DEBIT FLIPKART PURCHASE,1690.37,Shopping,0
2025-06-09,CULT.FIT MEMBERSHIP #3404,CULT.FIT MEMBERSHIP #3404 PURCHASE,257.6,Subscriptions,0
2025-06-10,NETFLI SC,NETFLI SC PURCHASE,10.84,Entertainment,0
2025-06-10,DOMINO'S #2011,DOMINO'S #2011 PURCHASE,1.0,Dining,0
2025-06-11,UBER,UBER PURCHASE,122.36,Transport,0
2025-06-14,PAYPAL *EMPLOYERPA,PAYPAL *EMPLOYERPA PURCHASE,35255.62,Income,0
2025-06-14,OLA670,OLA670 PURCHASE,838.07,Transport,0
2025-06-15,BARNAT701,BARNAT701 PURCHASE,288.18,Dining,0
2025-06-16,SWIGGY SC,SWIGGY SC PURCHASE,704.09,Dining,0
2025-06-18,IRCTC SC,IRCTC SC PURCHASE,268.87,Transport,0
2025-06-19,MORESUPERMARKET,MORESUPERMARKET PURCHASE,1151.24,Groceries,0
2025-06-19,DMART,DMART PURCHASE,1084.38,Groceries,0
2025-06-20,ZOM943,ZOM943 PURCHASE,348.24,Dining,0
2025-06-21,BSESELECTRICITY,BSESELECTRICITY PURCHASE,1646.84,Utilities,0
2025-06-21,RELIANCEFRESH,RELIANCEFRESH PURCHASE,412.78,Groceries,0
2025-06-22,IRCTC SC,IRCTC SC PURCHASE,717.89,Transport,0
2025-06-22,BARBEQUE NATION #9677,BARBEQUE NATION #9677 PURCHASE,483.41,Dining,0
2025-06-22,AMAZON,AMAZON PURCHASE,678.29,Shopping,0
2025-06-24,FLIPKART,FLIPKART PURCHASE,1140.81,Shopping,0
2025-07-01,EMPLOYER PAYROLL #3391,EMPLOYER PAYROLL #3391 PURCHASE,35240.86,Income,0
2025-07-01,SHANTIPROP,SHANTIPROP PURCHASE,18221.04,Rent,0
2025-07-01,UBER 029384,UBER 029384 PURCHASE,87.22,Transport,0
2025-07-01,LIFESTYLE #5983,LIFESTYLE #5983 PURCHASE,1459.73,Shopping,0
2025-07-02,BARBEQUE BANGLR,BARBEQUE BANGLR PURCHASE,472.77,Dining,0
2025-07-02,SQ *UBER,SQ *UBER PURCHASE,223.91,Transport,0
2025-07-03,SQ *MORESUPERM,SQ *MORESUPERM PURCHASE,612.95,Groceries,0
2025-07-04,BIGBAS SC,BIGBAS SC PURCHASE,303.44,Groceries,0
2025-07-05,MORESUPE BANGLR,MORESUPE BANGLR PURCHASE,806.65,Groceries,0
2025-07-05,AMAZON SC,AMAZON SC PURCHASE,1026.96,Shopping,0
2025-07-05,CAFECOFFEEDAY,CAFECOFFEEDAY PURCHASE,461.82,Dining,0
2025-07-06,ADOBE SC,ADOBE SC PURCHASE,158.5,Subscriptions,0
2025-07-06,MYNTRA SC,MYNTRA SC PURCHASE,598.65,Shopping,0
2025-07-06,BOOKMYSHOW,BOOKMYSHOW PURCHASE,182.21,Entertainment,0
2025-07-09,IRCTC,IRCTC PURCHASE,322.61,Transport,0
2025-07-10,MEDPLUS #1871,MEDPLUS #1871 PURCHASE,671.96,Healthcare,0
2025-07-10,OLA,OLA PURCHASE,269.32,Transport,0
2025-07-11,ADOBE,ADOBE PURCHASE,258.13,Subscriptions,0
2025-07-12,SWIGGY,SWIGGY PURCHASE,621.58,Dining,0
2025-07-12,PVRCINEM DELHI NCR,PVRCINEM DELHI NCR PURCHASE,108.97,Entertainment,0
2025-07-12,FLIPKART,FLIPKART PURCHASE,359.04,Shopping,0
2025-07-13,RELFRE533,RELFRE533 PURCHASE,1060.3,Groceries,0
2025-07-13,BARBEQUE NATION,BARBEQUE NATION PURCHASE,263.34,Dining,0
2025-07-14,EMPLOYERPA,EMPLOYERPA PURCHASE,35004.57,Income,0
2025-07-14,FLIPKART 0210,FLIPKART 0210 PURCHASE,833.56,Shopping,0
2025-07-16,UBER #3450,UBER #3450 PURCHASE,631.01,Transport,0
2025-07-16,DMART,DMART PURCHASE,523.76,Groceries,0
2025-07-18,LIFESTYLE,LIFESTYLE PURCHASE,1554.63,Shopping,0
2025-07-19,MYNTRA #6463,MYNTRA #6463 PURCHASE,1423.9,Shopping,0
2025-07-20,PAYPAL *FLIPKART,PAYPAL *FLIPKART PURCHASE,1.0,Shopping,0
2025-07-22,ZOMATO,ZOMATO PURCHASE,390.76,Dining,0
2025-07-24,LIFEST SC,LIFEST SC PURCHASE,582.42,Shopping,0
2025-07-25,OLA #6336,OLA #6336 PURCHASE,353.77,Transport,0
2025-07-26,UBER #7954,UBER #7954 PURCHASE,481.53,Transport,0
2025-07-26,IRCTC SC,IRCTC SC PURCHASE,662.25,Transport,0
2025-07-26,BIGBAS SC,BIGBAS SC PURCHASE,1116.24,Groceries,0
2025-07-27,BIGBAS SC,BIGBAS SC PURCHASE,276.73,Groceries,0
2025-07-28,OLA,OLA PURCHASE,548.28,Transport,0
2025-07-28,BIGBASKET #1712,BIGBASKET #1712 PURCHASE,1164.87,Groceries,0
2025-08-01,BARBEQUENATION,BARBEQUENATION PURCHASE,217.15,Dining,0
2025-08-01,SHANTI PROPERTIES #1747,SHANTI PROPERTIES #1747 PURCHASE,18524.01,Rent,0
2025-08-01,PAYPAL *EMPLOYERPA,PAYPAL *EMPLOYERPA PURCHASE,35655.41,Income,0
2025-08-02,NATURE'S BASKET,NATURE'S BASKET PURCHASE,1139.03,Groceries,0
2025-08-02,SQ *IRCTC,SQ *IRCTC PURCHASE,476.95,Transport,0
2025-08-02,NATURE'S BASKET,NATURE'S BASKET PURCHASE,685.32,Groceries,0
2025-08-02,ICLSTO420,ICLSTO420 PURCHASE,264.17,Subscriptions,0
2025-08-02,NATURESBASKET,NATURESBASKET PURCHASE,554.28,Groceries,0
2025-08-03,SPOTIFY,SPOTIFY PURCHASE,313.93,Entertainment,0
2025-08-03,UBER #249,UBER #249 PURCHASE,385.76,Transport,0
2025-08-04,ADO972,ADO972 PURCHASE,481.93,Subscriptions,0
2025-08-08,RELIANCE FRESH #6584,RELIANCE FRESH #6584 PURCHASE,891.37,Groceries,0
2025-08-09,SWIGGY,SWIGGY PURCHASE,622.02,Dining,0
2025-08-09,IRCTC 029384,IRCTC 029384 PURCHASE,675.83,Transport,0
2025-08-09,AMAZON #3694,AMAZON #3694 PURCHASE,836.76,Shopping,0
2025-08-10,APOLLO PHARMACY,APOLLO PHARMACY PURCHASE,207.01,Healthcare,0
